delta,wing,dte,max_vix,trades,win_rate,total_pnl,avg_pnl,sharpe
0.12,35,2,25,1080,0.9472222222222222,458215.55535474536,424.27366236550506,0.7506770373512244
0.12,35,3,17,516,0.9321705426356589,209701.3222026475,406.3979112454408,0.6220073987498749
0.12,35,3,20,821,0.9244823386114495,318717.986432903,388.20704803033266,0.5453266920135337
0.12,35,3,25,1079,0.9193697868396663,403805.68791497103,374.2406746199917,0.48985767664645136
0.15,20,1,17,518,0.8803088803088803,122602.09990760041,236.6835905552134,0.43899535851266497
0.15,20,1,20,823,0.8663426488456865,186245.18346256894,226.30034442596462,0.40729082039114234
0.15,20,1,25,1081,0.8556891766882516,224874.08131253917,208.02412702362537,0.3542694733057796
0.15,20,2,17,517,0.9284332688588007,180861.12017734704,349.82808544941446,0.829297710374415
0.15,20,2,20,822,0.9257907542579076,292339.50443632866,355.644165980935,0.8623629298440707
0.15,20,2,25,1080,0.9120370370370371,361098.33642964653,334.3503115089319,0.7240060816931359
0.15,20,3,17,516,0.8992248062015504,163151.65277126344,316.1853735877198,0.6077995187796966
0.15,20,3,20,821,0.8879415347137637,245810.1672758206,299.40337061610273,0.5407323895146153
0.15,20,3,25,1079,0.8804448563484708,313083.86338957376,290.16113381795554,0.5064147532272113
0.15,25,1,17,518,0.8841698841698842,141878.36892035554,273.89646509721166,0.43204479165582943
0.15,25,1,20,823,0.8699878493317132,217571.6563733062,264.3641025192058,0.4049451651737001
0.15,25,1,25,1081,0.8593894542090657,263658.92466616805,243.90279802605747,0.35216981163259076
0.15,25,2,17,517,0.9284332688588007,214830.3577528747,415.5326068720978,0.846763656578307
0.15,25,2,20,822,0.9257907542579076,349829.9263934914,425.58385206020864,0.8942519995467818
0.15,25,2,25,1080,0.9120370370370371,434397.1598759327,402.2195924777158,0.7511107709153831
0.15,25,3,17,516,0.8992248062015504,198561.50501691978,384.80911824984486,0.6391536222990577
0.15,25,3,20,821,0.8915956151035322,299804.3255757704,365.16970228473895,0.5644842862436114
0.15,25,3,25,1079,0.8860055607043559,381731.28495401936,353.78246983690434,0.5239021763323255
0.15,30,1,17,518,0.888030888030888,158524.88944314144,306.0326051025898,0.43152814486865454
