date,spx,vix,momentum,put_delta,call_delta,contracts,credit,pnl,capital,win,year
2024-11-15,5870.6201171875,16.139999389648438,-0.02083547454626511,0.2,0.1,1,675.289914855631,675.289914855631,60370.37925485633,True,2024
2024-11-20,5917.10986328125,17.15999984741211,-0.011406129747469018,0.18,0.12,1,682.2493025122299,682.2493025122299,61052.62855736856,True,2024
2024-11-25,5987.3701171875,14.600000381469728,0.015907031355244294,0.12,0.18,1,644.2841720371803,644.2841720371803,61696.91272940574,True,2024
2024-11-29,6032.3798828125,13.510000228881836,0.014065221270564976,0.12,0.18,1,632.3323239433762,632.3323239433762,62329.245053349114,True,2024
2024-12-04,6086.490234375,13.449999809265137,0.010771228525291887,0.12,0.18,1,630.4723503908576,630.4723503908576,62959.717403739975,True,2024
2024-12-09,6052.85009765625,14.1899995803833,0.0009426251051409817,0.12,0.18,1,644.0323317634466,644.0323317634466,63603.74973550342,True,2024
2024-12-13,6051.08984375,13.8100004196167,-0.006433241162641545,0.18,0.12,1,645.2090024745019,645.2090024745019,64248.958737977926,True,2024
2024-12-20,5930.85009765625,18.36000061035156,-0.019870758689518042,0.18,0.12,1,696.0102354208914,492.0063291708914,64740.96506714882,True,2024
2024-12-27,5970.83984375,15.949999809265137,0.01768507745647807,0.12,0.18,1,663.4434094775656,576.4316907275656,65317.396757876384,True,2024
2025-01-03,5942.47021484375,16.1299991607666,-0.01575456951662857,0.18,0.12,1,669.6286105974025,669.6286105974025,65987.02536847378,True,2025
2025-01-08,5918.25,17.700000762939453,0.006226185244078808,0.12,0.18,1,682.8781226087528,682.8781226087528,66669.90349108254,True,2025
2025-01-14,5842.91015625,18.709999084472656,-0.022169256040696972,0.2,0.1,1,697.5778905937318,697.5778905937318,67367.48138167628,True,2025
2025-01-17,5996.66015625,15.970000267028809,0.029109138782370536,0.1,0.2,1,668.9135836463095,-1518.0981351036905,65849.38324657259,False,2025
2025-01-24,6101.240234375,14.850000381469728,0.027605020924906576,0.1,0.2,1,658.7372777820974,658.7372777820974,66508.12052435469,True,2025
2025-01-29,6039.31005859375,16.559999465942383,-0.007732040228847659,0.18,0.12,1,679.0570272524235,679.0570272524235,67187.1775516071,True,2025
